station.ids,time.stamps,latitudes,longitudes,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
KBOW,1563869700,27.95,-81.78333,23,unit:degC,qc:S,23,unit:degC,qc:S,0,unit:m_s-1,qc:S,0,unit:degree_(angle),qc:S,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:S,NA,unit:Pa,qc:Z,100,unit:percent,qc:C,14480,unit:m,qc:C,23.96666666666664,unit:degC,qc:V
KINF,1563869700,28.8086,-82.3165,22,unit:degC,qc:V,22,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,100,unit:percent,qc:C,11265.408,unit:m,qc:C,22.866666666666674,unit:degC,qc:V
KCGC,1563869700,28.8673,-82.5712999,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KSRQ,1563868380,27.40139,-82.55861,23.900000000000034,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,130,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101370,unit:Pa,qc:V,96.44956260016502,unit:percent,qc:C,16090,unit:m,qc:C,24.863960801226597,unit:degC,qc:V
KLEE,1563868380,28.82142,-81.80964,23.900000000000034,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,230,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101470,unit:Pa,qc:V,93.57568439880517,unit:percent,qc:C,16090,unit:m,qc:C,24.788920648191038,unit:degC,qc:V
KISM,1563868560,28.28972,-81.43722,24.400000000000034,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101530,unit:Pa,qc:V,90.81000703820504,unit:percent,qc:C,16090,unit:m,qc:C,25.266705739330916,unit:degC,qc:V
KVVG,1497270600,28.96667,-81.9666699,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KOCF,1563868260,29.16667,-82.2166699,22.80000000000001,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101490,unit:Pa,qc:V,96.42062016554213,unit:percent,qc:C,16090,unit:m,qc:C,23.653205082100214,unit:degC,qc:V
KMCO,1563868380,28.41826,-81.32413,24.400000000000034,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101470,unit:Pa,qc:V,87.55957195860977,unit:percent,qc:C,16090,unit:m,qc:C,25.1818332678082,unit:degC,qc:V
KVNC,1563869700,27.0716,-82.44033,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KORL,1563868380,28.54655,-81.33543,25.600000000000023,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101490,unit:Pa,qc:V,81.5138089211377,unit:percent,qc:C,16090,unit:m,qc:C,26.343971677385298,unit:degC,qc:V
KX60,1563869700,29.3557,-82.4719,22.30000000000001,unit:degC,qc:V,22.100000000000023,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,98.78963245658615,unit:percent,qc:C,4828.032,unit:m,qc:C,23.165062625255246,unit:degC,qc:V
KSFB,1563868380,28.78333,-81.25,24.400000000000034,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,210,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101460,unit:Pa,qc:V,87.55957195860977,unit:percent,qc:C,16090,unit:m,qc:C,25.1818332678082,unit:degC,qc:V
KPGD,1563868380,26.91778,-81.99361,23.30000000000001,unit:degC,qc:V,NA,unit:degC,qc:Z,2.1,unit:m_s-1,qc:V,90,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101530,unit:Pa,qc:V,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KDED,1563869700,29.067,-81.2837,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KTIX,1563842820,28.51667,-80.8,29,unit:degC,qc:V,23,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,170,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,70.10874183711726,unit:percent,qc:C,11270,unit:m,qc:C,32.747452877489536,unit:degC,qc:V
KGNV,1563868380,29.69194,-82.27556,22.200000000000045,unit:degC,qc:V,21.100000000000023,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101480,unit:Pa,qc:V,93.49564966969403,unit:percent,qc:C,16090,unit:m,qc:C,22.91683085248644,unit:degC,qc:V
KCTY,1563869700,29.633326,-83.105458,22.700000000000045,unit:degC,qc:S,22.400000000000034,unit:degC,qc:S,0,unit:m_s-1,qc:S,0,unit:degree_(angle),qc:S,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:S,NA,unit:Pa,qc:Z,98.19467740649681,unit:percent,qc:C,11270,unit:m,qc:C,23.589527687836323,unit:degC,qc:V
KDAB,1563868380,29.17354,-81.07186,23.900000000000034,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101450,unit:Pa,qc:V,100,unit:percent,qc:C,16090,unit:m,qc:C,24.956666666666763,unit:degC,qc:V
KEVB,1563846420,29.05687,-80.94909,27,unit:degC,qc:V,23,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,200,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,78.78071949348664,unit:percent,qc:C,16090,unit:m,qc:C,29.626439648343137,unit:degC,qc:V
KMLB,1563868380,28.09973,-80.6356,24.400000000000034,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,290,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101440,unit:Pa,qc:V,90.81000703820504,unit:percent,qc:C,16090,unit:m,qc:C,25.266705739330916,unit:degC,qc:V
KTTS,1563868560,28.61667,-80.7,23.700000000000045,unit:degC,qc:V,NA,unit:degC,qc:Z,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101500,unit:Pa,qc:V,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KFMY,1563868380,26.58417,-81.8625,23.900000000000034,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,80,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101470,unit:Pa,qc:V,93.57568439880517,unit:percent,qc:C,16090,unit:m,qc:C,24.788920648191038,unit:degC,qc:V
KCOF,1563857760,28.24219,-80.60799,26.80000000000001,unit:degC,qc:V,25.700000000000045,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,210,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101600,unit:Pa,qc:V,93.70888380751745,unit:percent,qc:C,16090,unit:m,qc:C,30.515029275620293,unit:degC,qc:V
K28J,1563868500,29.6586,-81.6889,22,unit:degC,qc:V,22,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,100,unit:percent,qc:C,16090,unit:m,qc:C,22.866666666666674,unit:degC,qc:V
KOMN,1563835800,29.30111,-81.11361,29,unit:degC,qc:V,24,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,110,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,74.46601257025355,unit:percent,qc:C,16090,unit:m,qc:C,33.5871923831636,unit:degC,qc:V
KOBE,1563869700,27.2628,-80.8498,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KFIN,1563869700,29.4657,-81.20872,22.600000000000023,unit:degC,qc:S,21.700000000000045,unit:degC,qc:S,0,unit:m_s-1,qc:S,0,unit:degree_(angle),qc:S,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:S,NA,unit:Pa,qc:Z,94.6655850340366,unit:percent,qc:C,16090,unit:m,qc:C,23.387379164777656,unit:degC,qc:V
K42J,1563869700,29.84475,-82.04753,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KRSW,1563868380,26.52694,-81.76639,23.30000000000001,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,80,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101460,unit:Pa,qc:V,93.54760435307979,unit:percent,qc:C,16090,unit:m,qc:C,24.12818744699706,unit:degC,qc:V
KVRB,1563868380,27.65556,-80.41806,23.900000000000034,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,300,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101430,unit:Pa,qc:V,96.44956260016502,unit:percent,qc:C,16090,unit:m,qc:C,24.863960801226597,unit:degC,qc:V
KFPR,1563868380,27.49806,-80.37667,23.900000000000034,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,300,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101430,unit:Pa,qc:V,90.2262552214784,unit:percent,qc:C,16090,unit:m,qc:C,24.701463330783042,unit:degC,qc:V
KAPF,1563843180,26.15,-81.76667,26,unit:degC,qc:V,23,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,119.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,83.5653445347348,unit:percent,qc:C,16090,unit:m,qc:C,27.797490796853197,unit:degC,qc:V
KSUA,1563869700,27.18167,-80.22111,25,unit:degC,qc:S,22,unit:degC,qc:S,2.1,unit:m_s-1,qc:S,300,unit:degree_(angle),qc:S,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:S,NA,unit:Pa,qc:Z,83.45262666598398,unit:percent,qc:C,16090,unit:m,qc:C,25.734596362945126,unit:degC,qc:V
KMKY,1563868560,25.995,-81.6725,23.900000000000034,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101500,unit:Pa,qc:V,96.44956260016502,unit:percent,qc:C,16090,unit:m,qc:C,24.863960801226597,unit:degC,qc:V
KPBI,1563868380,26.6850999,-80.0991899,25.600000000000023,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,290,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101440,unit:Pa,qc:V,84.53980982614371,unit:percent,qc:C,16090,unit:m,qc:C,26.422983923238235,unit:degC,qc:V
KBCT,1563850020,26.3786099,-80.10778,27,unit:degC,qc:V,24,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,330,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,83.6769551752209,unit:percent,qc:C,12870,unit:m,qc:C,30.093214166167286,unit:degC,qc:V
KFXE,1563868380,26.2,-80.18333,25,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,270,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101450,unit:Pa,qc:V,90.30253888900407,unit:percent,qc:C,16090,unit:m,qc:C,25.913455182101757,unit:degC,qc:V
KPMP,1563868380,26.24556,-80.11139,26.100000000000023,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101440,unit:Pa,qc:V,84.59280839908378,unit:percent,qc:C,16090,unit:m,qc:C,28.05715796561924,unit:degC,qc:V
KHWO,1563868380,25.99889,-80.24111,25.600000000000023,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101510,unit:Pa,qc:V,87.13618000678825,unit:percent,qc:C,16090,unit:m,qc:C,26.490778033510537,unit:degC,qc:V
KFLL,1563868380,26.06806,-80.1525,25.600000000000023,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,239.99999999999997,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101430,unit:Pa,qc:V,87.13618000678825,unit:percent,qc:C,16090,unit:m,qc:C,26.490778033510537,unit:degC,qc:V
